Column1,glasgow,america-1,america-2,america-22,Column6
140,20.747658,233.014938,,,
141,121.084287,226.923455,,,
142,96.978727,302.416062,,,
143,24.366665,302.818295,,,
144,188.287897,402.688874,,,
145,132.046333,323.028062,,,
146,27.784373,387.401452,,,
147,16.195455,229.016308,,,
148,19.120855,237.274309,,,
149,17.844138,227.831852,,,
150,18.498725,237.028155,,,
151,110.88696,231.407463,,,
152,17.34636,361.523222,,,
153,222.353018,232.96279,,,
154,143.695784,226.367329,,,
155,81.475784,228.239921,,,
156,17.164754,227.280469,,,
157,18.649335,227.997413,,,
158,18.643135,231.167144,,,
159,19.685733,229.902461,,,
160,20.950415,227.635659,,,
161,16.679011,227.498177,,,
162,118.999821,344.531686,,,
163,44.447703,229.566233,,,
164,16.814304,228.522541,,,
165,179.372757,227.487602,,,
166,29.632531,227.065311,,,
167,16.862805,238.270958,,,
168,23.41013,240.231435,,,
169,22.81535,235.946173,,,
170,30.682422,227.924479,,,
171,165.505003,227.747978,,,
172,454.020127,317.579131,,,
173,16.405142,301.661556,,,
174,17.989278,231.542028,,,
175,80.154577,238.436519,,,
176,21.04049,226.947158,,,
177,320.123448,227.459523,,,
178,16.513814,227.792468,,,
179,78.855615,229.516273,,,
180,42.637834,234.689513,,,
,,,,,
,323.698695,,,,
,275.619952,,,,
,177.398056,,,,
,98.935194,,,,
,42.179076,,,,
,18.661004,,,,
,20.140115,,,,
,17.020344,,,,
,18.779887,,,,
,17.125734,,,,
,128.765376,,,,
,106.713651,,,,
,31.130239,,,,
,17.538544,,,,
,155.206662,,,,
,21.676843,,,,
,18.40318,,,,
,17.372982,,,,
,18.448036,,,,
,18.533369,,,,
,122.061973,,,,
,103.113243,,,,
,56.581439,,,,
,46.044237,,,,
,255.611119,,,,
,22.19723,,,,
,16.951421,,,,
,18.558896,,,,
,23.461913,,,,
,15.866521,,,,
,105.982848,,,,
